epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.197,2.10105,4.21433,1.67003,0.57213,0.49445,0.51571,0.20807,2.02297,1.65884,1.77049,0.000664979,0.000664979,0.000664979
2,146.969,2.15702,2.15908,1.76059,0.56983,0.45444,0.47348,0.19639,2.06505,1.76567,1.7952,0.00130528,0.00130528,0.00130528
3,218.472,2.23758,2.22688,1.80716,0.3604,0.2963,0.30239,0.13048,2.06012,2.05228,1.80992,0.00191918,0.00191918,0.00191918
4,290.478,2.19176,2.10254,1.77026,0.65161,0.4739,0.5416,0.22229,2.0018,1.65357,1.70308,0.0018812,0.0018812,0.0018812
5,362.171,2.18021,2.0153,1.7831,0.6003,0.51299,0.53337,0.20008,2.03396,1.72911,1.83069,0.0018416,0.0018416,0.0018416
6,432.671,2.12623,1.82917,1.7193,0.59813,0.54145,0.56883,0.2447,1.92965,1.55117,1.70696,0.001802,0.001802,0.001802
7,505.946,2.13473,1.78851,1.69003,0.62043,0.50794,0.56375,0.2307,1.96083,1.57013,1.69727,0.0017624,0.0017624,0.0017624
8,581.566,2.05993,1.75423,1.66949,0.66564,0.57437,0.6152,0.26763,1.91255,1.46321,1.66583,0.0017228,0.0017228,0.0017228
9,657.334,2.1068,1.6917,1.69764,0.69246,0.53851,0.62534,0.28929,1.86786,1.427,1.6461,0.0016832,0.0016832,0.0016832
10,733.343,2.05661,1.61436,1.67198,0.62059,0.53263,0.58491,0.27037,1.91016,1.443,1.65025,0.0016436,0.0016436,0.0016436
11,809.584,2.04819,1.60339,1.66292,0.67739,0.53574,0.61452,0.27935,1.89611,1.41608,1.64991,0.001604,0.001604,0.001604
12,884.794,2.01611,1.51787,1.65508,0.688,0.58848,0.63178,0.28381,1.89325,1.43108,1.66309,0.0015644,0.0015644,0.0015644
13,959.51,1.98415,1.52299,1.65187,0.68585,0.59425,0.65295,0.28808,1.86932,1.42875,1.63737,0.0015248,0.0015248,0.0015248
14,1034.85,1.98894,1.50217,1.60377,0.72811,0.5589,0.64746,0.29783,1.85438,1.39888,1.6386,0.0014852,0.0014852,0.0014852
15,1110.79,2.01458,1.47301,1.63367,0.68758,0.56379,0.65016,0.2965,1.88756,1.41298,1.64893,0.0014456,0.0014456,0.0014456
16,1186.61,1.98753,1.48097,1.61026,0.69985,0.60082,0.66909,0.30312,1.8787,1.33203,1.63138,0.001406,0.001406,0.001406
17,1262.48,2.01302,1.48321,1.65355,0.67712,0.57328,0.63211,0.29414,1.87587,1.36146,1.64064,0.0013664,0.0013664,0.0013664
18,1337.85,1.95654,1.37691,1.6025,0.6731,0.55673,0.63032,0.30071,1.86434,1.46038,1.63593,0.0013268,0.0013268,0.0013268
19,1413.5,1.95249,1.43025,1.5903,0.72421,0.53674,0.62574,0.29714,1.86477,1.35712,1.63142,0.0012872,0.0012872,0.0012872
20,1489.22,1.98029,1.4607,1.6207,0.76359,0.57156,0.66646,0.30395,1.90455,1.37006,1.65751,0.0012476,0.0012476,0.0012476
21,1564.95,1.93697,1.35519,1.5975,0.71221,0.59142,0.68188,0.32213,1.84148,1.29769,1.61712,0.001208,0.001208,0.001208
22,1641.21,1.97404,1.3999,1.61547,0.76324,0.59847,0.69852,0.32184,1.84638,1.29468,1.62881,0.0011684,0.0011684,0.0011684
23,1717.77,1.92345,1.3365,1.55105,0.72459,0.60631,0.68219,0.31887,1.86178,1.29094,1.63384,0.0011288,0.0011288,0.0011288
24,1793.84,1.9198,1.34898,1.5674,0.71811,0.59155,0.67683,0.32348,1.83829,1.2965,1.59373,0.0010892,0.0010892,0.0010892
25,1869.51,1.9514,1.37302,1.58781,0.70815,0.58671,0.6715,0.32012,1.8217,1.31944,1.59947,0.0010496,0.0010496,0.0010496
26,1942.5,1.92109,1.30876,1.54565,0.72527,0.5779,0.67664,0.31663,1.84234,1.33622,1.61341,0.00101,0.00101,0.00101
27,2018.17,1.88794,1.34162,1.54664,0.68096,0.54709,0.63107,0.30563,1.84429,1.36977,1.61368,0.0009704,0.0009704,0.0009704
28,2093.05,1.88691,1.3212,1.5593,0.6997,0.60435,0.68297,0.32672,1.82928,1.2792,1.61194,0.0009308,0.0009308,0.0009308
29,2167.03,1.93598,1.32805,1.57921,0.74086,0.60553,0.68347,0.33013,1.79483,1.292,1.57883,0.0008912,0.0008912,0.0008912
30,2242.97,1.87452,1.27795,1.56429,0.74965,0.58622,0.6816,0.32744,1.85641,1.27545,1.61558,0.0008516,0.0008516,0.0008516
31,2318.99,1.91598,1.29962,1.55355,0.74331,0.61627,0.69415,0.33534,1.80566,1.2406,1.60168,0.000812,0.000812,0.000812
32,2393.92,1.87686,1.28287,1.54759,0.71425,0.59367,0.67515,0.32431,1.84202,1.25452,1.59354,0.0007724,0.0007724,0.0007724
33,2469.07,1.85203,1.26359,1.54023,0.68656,0.57378,0.65238,0.32371,1.79869,1.34832,1.58509,0.0007328,0.0007328,0.0007328
34,2545.14,1.85243,1.26906,1.55324,0.71674,0.58554,0.67549,0.32867,1.83214,1.2941,1.59186,0.0006932,0.0006932,0.0006932
35,2620.86,1.82275,1.24886,1.53549,0.74787,0.6365,0.70738,0.33894,1.8125,1.20975,1.5758,0.0006536,0.0006536,0.0006536
36,2696.45,1.91866,1.26332,1.56667,0.76029,0.64315,0.73544,0.35167,1.80552,1.15944,1.57925,0.000614,0.000614,0.000614
37,2771.33,1.82979,1.23009,1.53637,0.74852,0.57744,0.6736,0.33269,1.80007,1.30671,1.60055,0.0005744,0.0005744,0.0005744
38,2842.9,1.85519,1.22924,1.52948,0.76006,0.59083,0.68627,0.3409,1.78641,1.27563,1.57893,0.0005348,0.0005348,0.0005348
39,2912.86,1.87468,1.21983,1.54296,0.75994,0.60259,0.68938,0.34117,1.80118,1.25471,1.59312,0.0004952,0.0004952,0.0004952
40,2983.79,1.79494,1.15522,1.50296,0.76227,0.58201,0.68668,0.33851,1.79078,1.25039,1.57657,0.0004556,0.0004556,0.0004556
41,3065.22,1.58073,1.02966,1.36562,0.7619,0.61704,0.71185,0.3444,1.81416,1.20066,1.58125,0.000416,0.000416,0.000416
42,3133.26,1.55045,0.99977,1.33803,0.75286,0.60847,0.7049,0.34679,1.79458,1.21721,1.56309,0.0003764,0.0003764,0.0003764
43,3201.37,1.5095,0.96405,1.31889,0.74776,0.58495,0.67798,0.34203,1.78022,1.2929,1.56824,0.0003368,0.0003368,0.0003368
44,3270.98,1.49591,0.96391,1.31911,0.75789,0.59811,0.70058,0.34941,1.77614,1.2432,1.55534,0.0002972,0.0002972,0.0002972
45,3341.04,1.57818,0.97292,1.36954,0.75455,0.58907,0.68137,0.3429,1.77854,1.25973,1.58068,0.0002576,0.0002576,0.0002576
46,3411.78,1.46726,0.92021,1.299,0.77559,0.58142,0.68952,0.34643,1.778,1.31553,1.56087,0.000218,0.000218,0.000218
47,3481.91,1.47891,0.92566,1.2786,0.77328,0.58549,0.68802,0.34813,1.76838,1.27816,1.55901,0.0001784,0.0001784,0.0001784
48,3554.38,1.51904,0.92238,1.33794,0.79549,0.60829,0.70814,0.35285,1.77915,1.20942,1.56537,0.0001388,0.0001388,0.0001388
49,3626.35,1.47168,0.90453,1.29471,0.7859,0.59318,0.69901,0.35255,1.77623,1.23827,1.56483,9.92e-05,9.92e-05,9.92e-05
50,3699.87,1.46873,0.88738,1.30653,0.77167,0.58809,0.68944,0.35116,1.77193,1.28145,1.56579,5.96e-05,5.96e-05,5.96e-05
