epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.826,0,20.3442,0,0,0,0,0,0,34.0013,0,0.000657534,0.000657534,0.000657534
2,284.774,0,14.0649,0,0,0,0,0,0,23.7482,0,0.00119311,0.00119311,0.00119311
3,473.995,0,11.132,0,0,0,0,0,0,19.1968,0,0.00159668,0.00159668,0.00159668
4,711.49,0,8.79016,0,0,0,0,0,0,16.6128,0,0.001406,0.001406,0.001406
5,949.005,0,7.06905,0,0,0,0,0,0,13.3326,0,0.001208,0.001208,0.001208
6,1170.82,0,5.7402,0,0,0,0,0,0,12.4449,0,0.00101,0.00101,0.00101
7,1308.01,0,4.73274,0,0,0,0,0,0,9.40921,0,0.000812,0.000812,0.000812
8,1465.62,0,4.03382,0,0,0,0,0,0,12.5834,0,0.000614,0.000614,0.000614
9,1625.97,0,3.58853,0,0,0,0,0,0,8.88762,0,0.000416,0.000416,0.000416
10,1787.09,0,3.32784,0,0,0,0,0,0,7.91464,0,0.000218,0.000218,0.000218
