epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.87343,2.23042,2.32942,1.42881,0.01636,0.58848,0.14227,0.07739,1.8248,3.07591,1.3421,0.000648649,0.000648649,0.000648649
2,19.4734,2.02361,1.60332,1.31392,0.54053,0.2144,0.26938,0.12074,1.93283,2.58946,1.34137,0.00130229,0.00130229,0.00130229
3,25.9917,2.04105,1.45063,1.29728,0.30613,0.29394,0.18314,0.077,2.00307,2.24693,1.43308,0.00194274,0.00194274,0.00194274
4,32.5596,2.05227,1.42672,1.32141,0.52679,0.39153,0.35821,0.15441,2.06245,1.94083,1.39196,0.0019406,0.0019406,0.0019406
5,39.1981,2.04213,1.3711,1.295,0.53067,0.40741,0.42933,0.20603,1.99635,1.56897,1.42662,0.0019208,0.0019208,0.0019208
6,45.791,2.02339,1.3578,1.2806,0.60414,0.55673,0.58052,0.24243,2.01256,1.41376,1.38862,0.001901,0.001901,0.001901
7,52.3277,1.98221,1.30797,1.29613,0.69179,0.62434,0.65603,0.29841,1.88633,1.25648,1.29262,0.0018812,0.0018812,0.0018812
8,58.8899,1.99352,1.29566,1.28959,0.69189,0.59318,0.63531,0.26958,1.9516,1.33084,1.35611,0.0018614,0.0018614,0.0018614
9,65.3241,1.9891,1.24327,1.27267,0.73292,0.58201,0.63421,0.29909,1.8645,1.33115,1.3025,0.0018416,0.0018416,0.0018416
10,79.5846,1.97311,1.23749,1.28614,0.69085,0.5833,0.63892,0.28359,1.90563,1.28499,1.32827,0.0018218,0.0018218,0.0018218
11,85.963,1.92696,1.22431,1.26124,0.73293,0.59049,0.67307,0.30313,1.87304,1.23555,1.30509,0.001802,0.001802,0.001802
12,92.4596,1.98046,1.19904,1.25905,0.73962,0.59952,0.66475,0.30287,1.89925,1.22674,1.34915,0.0017822,0.0017822,0.0017822
13,98.9743,1.92118,1.18481,1.26583,0.69366,0.5973,0.66762,0.30953,1.85952,1.19974,1.29949,0.0017624,0.0017624,0.0017624
14,105.547,1.94458,1.17071,1.2715,0.73076,0.57554,0.6194,0.29517,1.86377,1.27986,1.34265,0.0017426,0.0017426,0.0017426
15,112.14,1.97369,1.20138,1.27916,0.72663,0.60024,0.6757,0.30869,1.86734,1.20902,1.31056,0.0017228,0.0017228,0.0017228
16,118.581,1.95065,1.17067,1.27108,0.73722,0.62316,0.68744,0.31232,1.8884,1.18076,1.30841,0.001703,0.001703,0.001703
17,125.241,1.94198,1.17536,1.25019,0.77035,0.62909,0.69471,0.31485,1.86533,1.17405,1.29818,0.0016832,0.0016832,0.0016832
18,131.877,1.9222,1.15188,1.26286,0.7085,0.59436,0.64784,0.31416,1.84761,1.23624,1.30177,0.0016634,0.0016634,0.0016634
19,138.547,1.93957,1.16944,1.26719,0.7135,0.63433,0.68747,0.3181,1.88781,1.15287,1.30918,0.0016436,0.0016436,0.0016436
20,144.959,1.91729,1.13639,1.24833,0.72545,0.64962,0.70225,0.32102,1.84783,1.14552,1.30464,0.0016238,0.0016238,0.0016238
21,151.205,1.90501,1.13043,1.2475,0.71819,0.62774,0.69483,0.32849,1.81022,1.15119,1.28084,0.001604,0.001604,0.001604
22,157.386,1.87406,1.12049,1.25677,0.72098,0.62892,0.69207,0.30792,1.89232,1.18394,1.33159,0.0015842,0.0015842,0.0015842
23,163.532,1.85504,1.10479,1.24508,0.72932,0.63203,0.68886,0.30856,1.92526,1.15891,1.37429,0.0015644,0.0015644,0.0015644
24,169.717,1.87238,1.1104,1.2394,0.74314,0.64727,0.6928,0.32395,1.8426,1.12036,1.29898,0.0015446,0.0015446,0.0015446
25,175.909,1.87234,1.1038,1.22514,0.77151,0.60494,0.66992,0.3131,1.86111,1.22164,1.3015,0.0015248,0.0015248,0.0015248
26,182.068,1.90338,1.16792,1.25491,0.75834,0.59404,0.68638,0.32403,1.84064,1.19326,1.29697,0.001505,0.001505,0.001505
27,188.245,1.88949,1.08691,1.23906,0.70434,0.59906,0.68466,0.32076,1.84779,1.20185,1.29165,0.0014852,0.0014852,0.0014852
28,194.393,1.9056,1.10242,1.23399,0.76589,0.59428,0.68392,0.32911,1.86683,1.22152,1.30334,0.0014654,0.0014654,0.0014654
29,200.592,1.85812,1.0828,1.22032,0.71239,0.67078,0.70773,0.32177,1.86136,1.12648,1.31474,0.0014456,0.0014456,0.0014456
30,206.741,1.8684,1.08801,1.23343,0.74392,0.65197,0.69513,0.31326,1.89964,1.14878,1.32533,0.0014258,0.0014258,0.0014258
31,212.916,1.8438,1.07726,1.23147,0.70517,0.57143,0.63194,0.29402,1.91316,1.27467,1.35473,0.001406,0.001406,0.001406
32,219.095,1.8938,1.09259,1.22923,0.69409,0.54497,0.60993,0.29001,1.86908,1.28277,1.35118,0.0013862,0.0013862,0.0013862
33,225.295,1.85611,1.1035,1.23632,0.75377,0.6649,0.71457,0.33643,1.82973,1.1062,1.29105,0.0013664,0.0013664,0.0013664
